,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,5.241154145790624e-12,1.259084149528641e-10,2.781448376389709e-10,1.8571134009056764e-10,9.593333113576399e-11,2.291065929328135e-12,-1.228707597396723e-10,-1.4071174779239537e-10,-6.785651402765474e-11,-3.7708687954577655e-11,1.3710591232999786e-10,1.9987004053428017e-10,1.4550423295349849e-10,3.316423397603238e-11,-1.3568768124731718e-10,-1.5729024187665794e-10,-4.251003782806491e-11,1.1378622245903183e-10,1.744366544102754e-10,7.367226405671444e-11,4.5132782663402134e-11,-4.5382016515188354e-11,-1.3650847683917936e-10,-5.0746255930116515e-11,9.815650018817674e-11,1.9182422509156325e-10,2.7180923850702615e-10,2.355046981944309e-10,1.8001026550643008e-10,5.09377771842001e-11,-5.496447772988721e-11,2.762832554523643e-11,1.3540981736650457e-10,2.904736916181721e-10,2.662821219323684e-10,2.132311133237098e-10,1.2279204126385793e-10,-1.3596358702253499e-11,-8.955574712665418e-11,-3.052632295778756e-11,1.6282475748208092e-10,2.7031226776115073e-10,2.9935626814042593e-10,2.1086460018894134e-10,8.844007120519483e-11,-3.5883616549592186e-11,-1.694824694662138e-10,-1.6416050262753196e-10,-2.892598004712083e-11,8.211192058293665e-11,7.64157143517481e-11,1.8499969829071553e-11,-9.79285291484338e-11,-1.5473681287156425e-10,-2.5193151754248887e-10
200.0,1.0348954063407662e-10,1.847412066867567e-10,9.16144582628133e-11,6.74712758383584e-11,1.2329580865602628e-10,6.147122629792558e-11,-5.353854787802088e-11,-5.186657829395029e-11,1.3228921710744253e-11,7.483577709434111e-11,8.13456994647094e-12,2.736308771423554e-11,1.1367019198622738e-10,1.5814290568324586e-10,7.64809379042463e-11,-1.3824969453755791e-11,-2.2815915934937453e-11,-3.567248362819206e-11,4.966834742719373e-11,9.26211270002582e-11,1.1394784875472962e-10,8.448956309269157e-11,-4.2886684145336705e-11,-1.1809894043091193e-10,-7.873236596885987e-11,3.305919895443321e-11,1.8988581663537867e-10,2.2397242686642627e-10,1.7412640732287615e-10,8.456286861865834e-11,-1.0345676629813354e-10,-1.676108435702641e-10,-1.226744939030041e-10,-6.574101580581898e-11,-9.439216453028828e-13,3.7676561330071254e-11,1.42459685918871e-10,1.0959776386393073e-10,-8.388933976764197e-11,-1.4874306329667547e-10,-1.2527463435755125e-10,4.3686714961630326e-11,1.7335264680271014e-10,1.6349260434750535e-10,9.562953750406428e-11,3.211405257027098e-11,-8.898719923405113e-11,-1.2972799977037056e-10,-1.2112334935005043e-10,-1.055432776255665e-12,2.3060871425948618e-11,5.824785126891732e-11,9.548777593095622e-11,7.826432958053932e-12,-1.3298887682590176e-10
300.0,-2.3096081982611264e-11,3.5545821942216123e-11,1.598772261660277e-10,1.5421568113275933e-10,1.7059407554845803e-10,1.9678904314895467e-10,8.092428280670481e-11,2.839408878526412e-11,5.2397280236834e-11,1.0631910561526227e-10,1.1735065784439827e-10,9.311764034084383e-12,-2.682241380061596e-11,4.279615596972118e-11,9.016485592336412e-11,8.214818886826714e-11,1.2642048812093294e-10,4.860622686506509e-11,-1.8889208100573143e-11,-5.005810606261581e-11,-3.448191640060675e-11,6.868360758379029e-11,6.899627461438371e-11,2.255874026482058e-11,-7.968513631916218e-11,-1.8288686809914874e-10,-1.8372993345226697e-10,-1.2949956117580138e-10,-7.253858906826909e-11,-8.759232989014987e-12,-1.3135641148113589e-10,-2.79245619053018e-10,-3.300308851428042e-10,-2.5652968246814147e-10,-1.9617581944118064e-10,-1.55437314571301e-10,-1.493917383492787e-10,-1.5756757989410594e-11,8.909254714879288e-13,3.24760808929745e-11,2.963298884205947e-11,-1.0805185656839849e-11,3.869049963127017e-11,1.3719692376275455e-10,1.9075687821090385e-10,1.8989119148863748e-10,8.482691414764647e-11,2.8676039296098124e-11,5.012345927290022e-11,8.712841950147994e-11,6.273587096632945e-11,5.480718036802058e-11,5.936986463434529e-11,9.649720169003993e-11,3.881913603587163e-11
500.0,1.0003492087830257e-10,5.805883017579349e-11,-7.70966277066075e-12,-6.486875968496392e-11,-1.4826798420200528e-11,6.444711728648286e-11,1.1803488626843347e-10,1.1367517333342566e-10,7.658540594896808e-11,6.317355218856087e-11,8.572352195689045e-11,7.269028054417213e-11,8.802820386847759e-11,9.663717701706866e-11,9.29865680820548e-11,9.677636057730024e-11,1.192028498757123e-10,1.1475922378040392e-10,3.8284467749941385e-11,-1.0462783382819991e-11,2.1790433523047052e-12,-3.4766603536022656e-11,-4.1634119439648113e-11,2.4116127247125955e-12,3.943634165843782e-11,2.5547604518883482e-11,-6.159740387601242e-11,-1.5651120634886714e-10,-1.9816482602135878e-10,-1.7655898840054848e-10,-1.206176455574991e-10,-4.4269275416841986e-11,-6.334477979463779e-11,-1.437444492462598e-10,-1.632757138082685e-10,-1.4531701694707709e-10,-1.1157961873983086e-10,-4.953278563251706e-11,5.284796702304453e-12,4.637599132629043e-11,9.153339648525244e-11,5.944016281592954e-11,2.313601978190563e-11,2.4413419545839224e-11,9.287204964798895e-11,1.4417468506064254e-10,1.4342520668189047e-10,1.3974937713438245e-10,6.174772223986923e-11,1.677122679748636e-11,2.932960715566389e-12,1.7525328222801138e-11,2.981025777782354e-11,6.590984398412425e-11,4.740570115875731e-11
700.0,6.936213283539835e-11,5.53030483230467e-11,3.749848555921107e-11,-3.480131934329897e-11,-5.361977960544816e-11,-4.0349109820779964e-11,2.0499144606591267e-11,9.235621552934247e-11,1.6434880266612033e-10,1.4700401404897154e-10,7.755869280769146e-11,1.1927446637489357e-11,-7.119470003254513e-12,2.6944161469680006e-11,2.8068860463311533e-11,3.09668402778319e-11,5.266950624119772e-11,9.466353585917826e-11,4.1523408004444324e-11,-1.1451521966287391e-11,-4.5767364598871155e-11,-2.7129330458637433e-11,-4.3073974646265685e-11,5.403928848661332e-12,7.461373629865471e-11,3.467858982386319e-11,-5.2483472875693105e-11,-1.4201734607078675e-10,-1.5599775933253765e-10,-1.200795517646238e-10,-5.3082346904741167e-11,6.634932393117378e-11,1.5028776012345004e-10,8.209038506340615e-11,-9.092905493818012e-11,-1.8135147469668557e-10,-1.483456542824846e-10,-8.714615371424732e-11,-6.748275264834572e-12,8.630200956155878e-11,1.0517713026033287e-10,4.428540511626392e-11,-5.2613582152101434e-11,-1.0850400031751892e-10,-8.361909493479113e-11,-3.564033069103825e-11,4.319856229554786e-11,1.4335643929927227e-10,1.834350600987404e-10,6.385569670751176e-11,-6.671594863690939e-11,-8.900451949294722e-11,-3.477589133101708e-11,-3.574585696783666e-11,2.4188235248977114e-11
1000.0,4.741584819261581e-11,9.991873732531292e-11,8.603678766969357e-11,8.495505327308735e-11,-1.639596602551897e-11,-1.0065662576883892e-10,-1.2035633668075506e-10,-9.40526509632458e-11,-1.8444167259015952e-11,4.944599193515502e-11,8.869203869501771e-11,9.974156219660886e-11,5.988371787378444e-11,-7.863349384760062e-13,-1.6259799863544992e-11,1.051433454332415e-12,-7.484935586836101e-12,1.501709720580439e-11,5.971636056473932e-11,4.099833104261585e-11,-6.29786542749388e-11,-1.0895114626429083e-10,-1.468812063616841e-10,-1.4051519226215286e-10,-4.421823015607777e-11,5.048640974405562e-11,8.342664084196519e-11,7.535921733486764e-11,-2.164585143112152e-11,-5.923705680640045e-11,-9.102091029237171e-11,-9.478174582529724e-11,-3.1144250880124036e-11,5.7641712377268696e-11,8.416441072085413e-11,1.3768713072673399e-11,-2.1109853620482376e-11,-4.478089588009408e-11,-4.6978826404174344e-11,2.7096177087561852e-11,9.44952413215406e-11,1.0370837852960558e-10,4.41394268088754e-11,-1.463924794946212e-11,-2.983589957003524e-11,-1.089409585057999e-10,-1.2739661433152488e-10,-3.877813626302596e-11,7.739790855607493e-11,1.2201489069600057e-10,6.408236216387343e-11,-2.7711640307023246e-12,-5.982541781492651e-11,-1.266087853820877e-10,-1.131446176226445e-10
2000.0,4.342701500743534e-12,3.1486820823523394e-11,-1.2133489221122723e-11,-4.994656353892098e-11,-8.21824290270025e-11,-8.755268694537797e-11,-9.608661826676606e-11,-2.986798268422635e-11,9.328091018411202e-11,1.4039537689446692e-10,9.693311797580055e-11,4.8721010382557154e-11,2.8623575400770247e-11,1.0329020695410535e-11,-5.2184477303835395e-11,-5.47699800151449e-11,1.514928610267264e-11,4.024767652301533e-11,3.57329284129989e-11,2.0634792176344878e-11,7.256603287527232e-12,1.761189330480392e-11,-6.032649234707245e-12,-1.5639121795211232e-11,-8.886726680175147e-12,-1.5877279940255066e-11,-1.363837781523158e-11,6.623940797542974e-12,4.539815797179947e-11,-1.1601113456960895e-11,-7.865987093801068e-11,-7.63934907829795e-11,-9.767531964260009e-11,-1.1592984457449125e-10,-7.22625837387049e-11,3.017910499200807e-11,1.2177283640837216e-10,1.0099477989400902e-10,1.4727187634913247e-11,-4.8354456422978115e-11,-2.459867048612995e-11,-1.7983530166451882e-11,1.801115372924949e-11,5.0100130452131764e-11,3.1093126583953214e-11,-3.5665699064272606e-12,-6.439971269817782e-11,-8.2125757725982e-11,-5.5266010780340215e-11,-3.240077805704958e-11,-4.142147605344476e-11,-7.810224698141862e-12,7.873192321010164e-11,1.0163346830160168e-10,-2.1243332099785285e-11
3000.0,-8.666616174156385e-11,-7.206068159361869e-12,3.752828284374758e-11,5.1886012646511e-11,5.962745594898212e-11,2.6499737811396277e-11,-4.768945511910239e-11,-6.601078041816712e-11,-2.517492597200417e-11,6.603413749631831e-12,1.7176840718768542e-11,3.934797118108564e-12,2.1948507262446815e-11,3.356987796683937e-11,3.213926138183501e-11,2.7002982637702304e-11,4.4074106119521564e-11,4.827045499787943e-11,1.975964297338004e-11,-4.221748410554607e-12,5.954655492178791e-12,7.810160929184731e-12,3.283311028884834e-11,5.890287413883953e-11,7.856012259388033e-11,6.563482843420595e-11,3.272113471108742e-11,-2.2753529225453663e-11,-6.611179953767693e-11,-9.62624721351866e-11,-1.142531905057876e-10,-5.777024339132341e-11,3.53010632051339e-11,6.569967754425175e-11,4.877065047788618e-11,3.854487680304307e-11,3.259659324815871e-11,-1.8391866594222126e-11,-6.367175298089249e-11,-3.93104053072657e-11,-3.483693340318478e-11,-5.778935185566232e-11,-8.349653428505209e-11,-5.664259138891768e-11,-1.917278021287848e-12,3.99403172206516e-11,5.0561962154900374e-11,4.913997369040249e-11,2.7853205989030055e-11,-9.974576208370848e-13,-5.176085515225091e-11,-7.519094927150787e-11,-5.536601138402072e-11,-3.538323474858007e-11,-3.3824747713238156e-11
5000.0,-1.5863688201626044e-11,-5.0802367496367935e-11,-5.669635516329426e-11,-2.887066054200425e-11,3.001158941768998e-11,7.445915651070468e-11,6.886699789455243e-11,2.360429059182131e-11,-3.078820977857005e-11,-2.931598422656805e-11,-3.468666164248436e-11,1.6150676924049236e-11,7.096436131762164e-11,7.572983022585718e-11,2.2217916881356278e-11,-3.0714429380502934e-11,-2.279266956211687e-11,-4.51967310743445e-12,-5.7366829999951725e-12,3.68471541298607e-11,1.0754168482130976e-10,1.1315129817852853e-10,8.068995610137044e-11,2.580566113013552e-11,-1.0821554185944211e-11,-5.3111103922831586e-11,-5.5576942627231144e-11,-8.874911464219208e-12,6.568937222247075e-11,7.741255347752414e-11,5.617094257346436e-11,1.7510612846619904e-11,2.178496457937311e-11,2.2915165600093666e-11,5.172499888463816e-12,-3.17515268469515e-12,1.0381314316808363e-11,-1.3068347708242064e-12,-2.4648916676359842e-11,-4.026187252250189e-11,-1.7956288901774417e-11,2.2591167180614274e-11,1.9621189207218693e-11,3.435858406449553e-12,-9.3938773831605e-12,-3.417064119196592e-11,-5.065412953886688e-11,-3.2416693904678105e-11,-6.195968289405978e-12,-1.0291979612909492e-11,-2.1767867262244513e-11,-3.078623891486273e-11,-5.428537982503394e-11,-7.720956092207337e-11,-4.909301199306461e-11
7000.0,9.681751421972843e-11,1.3229097490621348e-10,1.1177893339008636e-10,8.654873431388734e-11,5.184882885083109e-11,1.2006850007566329e-11,-2.739379594481255e-11,-8.147946529970808e-12,3.719304448277077e-11,1.0269204735421233e-10,1.4213185871787245e-10,1.0046782816548979e-10,4.1506396883418736e-11,1.969694161190335e-11,2.3046381660245046e-11,3.884664087001303e-11,6.796742996578476e-11,1.1594025677610023e-10,1.2707531534376042e-10,1.0887615367906878e-10,5.560043595667144e-11,-4.454912687839914e-12,-4.749434272920861e-11,-2.4541765639286457e-11,3.609923603602193e-11,9.029837491215122e-11,5.5802989215005325e-11,3.0351009984675147e-11,3.82800467913209e-12,-5.661268844942578e-12,-1.9410362367813284e-11,-1.4895167958915907e-11,1.535639655256401e-11,2.719296371273458e-11,2.898703269764233e-11,2.7750977411042413e-12,-2.5867010569819168e-11,-2.0523237339052226e-11,-2.8315770967686025e-11,-3.489122776685877e-11,-2.8097208751656133e-11,-9.37321167012221e-12,-2.1189269219744476e-11,-3.213009331282019e-11,-1.838000766812786e-11,-1.8932867279365036e-11,-3.177029106392234e-11,-4.6906584073883005e-11,-5.930833625479468e-11,-5.970617751160408e-11,-4.151521653896154e-11,-7.464375670591739e-12,4.675791350883352e-12,-4.990813110002406e-12,-2.843762942459735e-11
